Decision,GPA,ACT,SAT II,Gender,Ethnicity,Essay,Recommendation,School Type,Region
1,3.92,36,786,0,0,9,9.5,0,0
1,3.9,34,745,1,0,8.9,7.8,0,1
0,3.9,27,656,1,2,10,10,0,3
0,3.89,35,765,0,1,8,7,0,2
1,3.98,33,740,0,-1,6.9,9.3,0,2
0,4,35,745,1,2,8,8.3,1,4
1,3.96,35,756,1,0,8,7,0,4
0,3.755,33,610,0,0,6.6,8.5,0,2
0,4,36,779,1,-1,3,9,0,3
0,3.89,35,763,0,-1,8.8,10,0,3
1,4,35,785,0,1,9.2,8.1,0,0
0,4,33,729,0,1,5.7,8,0,1
1,4,35,790,0,1,8,9.3,0,3
0,3.9,35,795,0,0,8,9,0,0
0,3.97,36,750,0,0,7.5,9,0,2
0,3.93,35,665,0,2,8.4,8.7,1,4
1,4,36,800,0,0,7.7,7.8,0,2
0,4,35,775,1,0,9.2,9.3,0,0
0,3.7,36,752,1,-1,8,7.2,0,3
1,3.81,32,780,0,2,9.5,8.9,0,0
0,3.924,34,740,0,0,9.4,9,0,3
1,3.93,35,755,0,0,10,9.4,1,2
1,3.85,35,800,1,0,7,9,0,1
1,4,34,720,1,0,10,9,0,3
0,3.9,33,734,1,2,9,7.8,0,1
1,4,36,770,1,0,8.6,8.9,1,0
0,3.99,35,764,0,0,7.1,8.5,0,3
1,4,35,800,0,1,9.4,9.5,1,0
0,3.99,35,780,1,0,8,8.7,0,2
1,3.8,36,790,1,0,8,7.7,0,0
0,3.78,29,666,1,0,7,6.7,0,2
1,3.8,36,746,1,0,7,9.1,0,0
1,4,35,800,0,1,9.4,9.5,1,0
0,4,36,760,1,-1,7.7,10,0,3
0,4,34,756,1,0,9.1,9.5,0,0
0,4,35,755,0,-1,7,7.3,0,2
1,3.96,35,766,1,1,7,8.2,0,1
1,3.99,36,790,1,1,5,10,1,2
1,3.8,36,790,1,-1,8.2,8,0,0
1,4,36,785,0,0,8.6,9.5,1,3
0,4,36,782,1,-1,7,6.7,1,3
1,4,33,729,0,0,8.8,8.6,0,2
1,3.95,31,697,0,2,10,9.2,0,1
1,4,33,745,1,0,2.3,10,0,0
0,3.94,34,770,0,-1,8.8,8.9,1,2
1,4,34,746,0,0,7.5,9.5,0,2
0,3.88,35,740,0,0,10,9.8,0,2
0,4,36,798,0,-1,10,10,0,3
0,3.94,32,715,1,0,10,8.8,0,2
1,4,34,716,0,0,8,7.5,0,2
1,4,33,740,0,-1,9.5,9.7,0,0
1,3.98,36,757,1,0,7,8.5,0,2
0,3.8,33,720,1,0,8,8,0,2
1,4,35,775,0,-1,9,10,0,0
0,3.9,35,745,1,-1,7.8,8.3,0,0
0,4,35,800,0,-1,7.7,9.6,0,3
0,4,35,756,1,-1,7,8.3,0,3
1,4,36,780,1,-1,6.5,8.2,0,3
1,4,32,700,1,2,7.8,9.3,0,4
1,4,35,770,0,0,8,8.2,0,3
0,4,36,795,1,-1,7.5,7.8,0,3
1,3.91,34,710,1,2,10,10,0,3
1,4,36,770,0,0,8.9,9.7,0,3
1,3.98,35,795,0,0,9,9,0,1
1,4,34,725,1,0,9.5,8,0,2
0,3.994,34,790,1,-1,8.9,9,0,1
0,3.8,35,765,0,0,8.2,9.1,0,4
1,3.99,35,730,0,0,10,9.3,1,1
0,4,35,750,1,0,7.8,7.7,0,2
1,3.94,33,663,0,2,9,7.2,0,3
0,4,33,723,1,-1,8.5,8.5,0,3
0,3.9705,35,758,1,-1,9.3,9.5,0,1
1,3.89,35,796,1,0,10,9,0,0
1,3.97,36,760,1,0,8.2,9.2,0,0
0,4,34,716,0,-1,7.7,9,0,2
0,3.96,36,765,0,0,10,8,0,3
0,3.85,35,740,1,-1,8.5,7.8,1,0
1,3.9,35,764,0,0,9.3,10,0,0
0,4,34,746,0,0,7,8,0,3
0,3.75,36,760,0,1,8.7,9,1,3
0,3.8,34,693,0,1,8,10,1,3
0,3.94,34,725,0,0,7.7,7,0,3
1,3.85,35,783,0,0,8.4,9.2,1,3
1,3.94,36,760,0,-1,10,8,0,1
1,3.97,36,793,1,-1,8.5,9,0,3
0,3.82,33,739,0,0,7,8.8,0,3
0,3.93,36,790,0,-1,8,8.5,0,0
1,3.9,35,763,1,-1,9.2,9.3,0,2
0,4,34,680,0,0,9,9.6,0,0
1,3.95,35,766,0,0,9.7,9.7,0,1
1,3.96,35,740,1,1,8.2,9.5,0,3
0,4,36,716,1,-1,8.2,7.7,0,2
0,4,34,775,0,-1,7,7.5,0,2
0,3.7,35,752,1,0,7,8.8,0,0
1,3.89,34,773,1,1,8,8.6,1,2
0,3.9,33,734,1,-1,9,8.6,0,2
0,3.93,36,740,0,0,9.5,9.8,0,3
0,3.98,34,760,0,0,9.5,7,0,2
0,3.97,34,750,0,1,10,8,0,1
0,4,35,787,1,0,8.5,8,0,2
1,4,35,745,1,2,8,7,1,2
1,3.9,29,715,1,1,10,10,0,0
1,4,35,790,0,1,9,9.2,0,3
1,4,36,795,1,-1,8,10,0,3
1,3.98,36,796,0,2,9.5,9,0,0
1,4,36,800,0,-1,7.6,9,0,1
1,4,36,777,1,-1,8,7.7,0,4
1,4,35,785,1,-1,7.2,7,0,3
0,4,36,800,0,0,8.6,9.8,0,0
0,4,36,800,0,0,8.6,9.8,0,0
0,4,34,770,0,0,5.3,8,0,4
0,3.98,35,786,0,0,8.9,9,0,4
0,4,36,780,0,-1,7.7,8.2,0,3
1,4,36,763,1,0,7.5,8,0,1
0,4,35,783,0,-1,8,8.2,0,3
1,3.9,35,780,1,0,8,7.5,0,3
1,4,36,790,1,0,7.5,10,0,2
0,3.79,34,745,1,-1,9,8.7,1,3
0,3.92,36,775,1,0,7.5,8.5,0,0
1,3.97,34,755,1,-1,6.7,8.8,0,2
0,3.86,34,752,0,-1,7,6.8,0,3
1,3.78,36,775,0,0,7.7,8,0,4
1,4,30,677,1,-1,9.3,8.5,0,4
0,4,36,780,1,-1,7.5,7.8,0,0
1,3.95,36,777,0,-1,5.1,10,1,4
1,3.7,32,723,0,1,10,9,1,2
1,3.9875,33,729,0,1,9.5,10,0,1
1,3.993,34,746,1,-1,8,8.5,0,2
1,4,35,780,1,0,8.2,8.7,0,3
1,4,32,711,0,0,9.5,8.5,0,1
0,3.96,35,766,1,-1,5,6.7,0,3
1,4,36,779,0,0,8,7,0,2
1,4,35,783,0,1,8.3,8.1,0,0
1,4,34,800,0,0,8,8.7,0,1
0,4,36,800,1,-1,8,8.8,0,0
0,3.94,34,750,0,-1,8,7.5,0,3
1,4,32,735,1,2,8,7,0,3
1,4,33,683,0,-1,10,8,0,3
1,3.9,36,775,0,-1,9.5,8.3,0,2
1,3.89,35,766,0,-1,4.8,8,1,3
1,3.83,30,750,1,2,9.7,9,0,1
0,3.88,35,740,1,-1,10,7.5,0,0
1,3.9444,34,763,0,2,9,9.3,0,3
0,3.6,34,775,0,0,8,8.2,0,0
1,3.89,35,800,0,0,9.5,9.5,1,2
0,4,36,798,0,-1,10,9.3,0,3
1,3.75,34,725,1,0,9,9,0,3
1,3.98,36,757,1,0,7,8.5,0,2
0,4,34,800,0,0,9,8.3,0,0
1,3.76,36,770,0,-1,9,9.4,1,2
0,3.6,35,706,1,2,8.5,9.4,0,1
0,3.96,34,748,1,0,8.8,9.2,0,2
0,3.97,35,765,1,0,9,6.7,0,2
1,3.7,34,742,1,0,4,7.5,0,1
1,3.97,36,785,1,-1,8,8.8,0,3
1,3.84,34,770,0,1,10,9,1,0
1,3.93,35,793,1,0,8,10,0,1
1,3.86,34,790,1,-1,8.5,9.1,0,0
1,3.98,35,730,0,0,9.5,9.7,0,4
1,3.92,34,765,0,-1,9.8,9.2,0,3
1,3.96,35,725,0,0,8.5,10,0,3
0,3.9,35,757,1,-1,8.7,9.3,1,2
1,3.9,36,773,1,0,7.9,8.7,1,2
1,3.95,35,785,0,-1,8.7,8.8,1,1
1,3.65,32,721,0,1,9.4,9.2,1,3
0,3.57,35,785,0,-1,7.5,9.7,0,0
1,3.8,32,790,1,1,9,8.7,0,0
0,3.9,33,734,1,-1,7.6,8.6,0,2
0,3.97,35,763,1,-1,8.2,9.8,0,2
1,3.89,35,765,0,1,8,7,0,2
0,3.8,35,740,1,-1,8.5,8,1,0
1,4,36,782,0,0,8.6,9,0,2
1,3.9,33,734,0,0,8.8,7.5,0,1
1,3.96,35,756,1,0,8,7,0,2
1,3.98,34,747,1,0,7.5,7.2,0,2
1,3.83,33,705,0,2,9,8.8,0,3
0,3.9,34,726,1,-1,7,8,0,0
0,3.9,35,764,0,-1,7.5,8.5,0,4
0,3.82,35,770,0,0,7,7,0,0
0,3.98,34,760,0,0,8,8.5,0,2
1,4,35,780,0,-1,8.5,10,0,2
1,3.7,34,753,0,-1,8,9.5,0,4
0,3.67,35,747,1,0,9,8,1,0
0,4,36,779,1,-1,6,7.4,0,1
1,3.95,36,800,0,-1,6.5,8,0,2
1,3.56,34,715,0,1,8.8,8.9,1,0
1,3.5,31,675,0,-1,7,8,0,4
0,4,35,776,0,-1,8.5,8.3,0,3
1,4,33,729,0,2,10,8.5,0,2
0,3.7,35,752,0,0,8.8,8.7,0,1
1,3.8,29,669,0,1,10,10,0,0
1,4,30,710,1,1,10,9.5,0,2
1,3.81,34,780,1,-1,9.2,9.2,0,0
1,4,35,715,1,0,8.5,9.3,0,3
1,3.89,34,720,0,0,9.8,10,0,0
1,3.81,32,640,1,2,9,10,1,2
0,3.85,35,720,1,-1,7.5,8,0,1
0,3.8,35,710,0,0,8.2,7.8,0,4
0,4,31,720,0,-1,6.5,7.5,0,3
1,4,35,750,1,-1,8.5,8.6,0,1
0,3.9,35,780,1,0,8,7.5,0,3
0,3.8,36,795,0,1,7.5,8,0,0
1,3.889,34,800,0,2,8,8.4,1,1
0,4,36,780,1,0,9,9.7,0,2
0,4,36,800,0,0,7,9,0,3
1,4,35,800,0,0,10,8,0,3
0,4,35,780,0,0,8,8,0,2
1,4,36,800,1,-1,8.3,5,0,3
1,3.8,36,800,0,-1,8,8,0,3
1,4,36,735,0,0,9,6.8,0,3
0,4,34,780,1,0,9,7.7,1,1
1,4,32,700,0,2,9,8.2,0,3
1,4,34,730,0,2,8.5,8.2,0,3
1,3.95,33,765,1,2,10,10,0,3
0,4,34,785,1,0,8.5,6,1,0
1,4,35,763,1,-1,10,8.7,0,2
1,4,35,760,1,-1,9.8,9.8,0,2
1,4,35,730,0,1,8.8,8.8,0,3
0,4,33,663,1,0,9.5,9.6,0,0
0,3.95,36,796,0,-1,8.5,9.8,0,1
1,4,36,800,0,0,7.5,6.5,0,4
0,3.95,36,740,0,-1,8.7,8,0,3
0,4,36,790,0,-1,6.5,8.8,0,2
0,3.8,36,793,0,-1,8,6.8,0,0
0,3.89,36,786,0,-1,8.3,8,0,2
1,3.99,36,800,1,-1,6.8,7.4,0,4
0,3.986,34,740,1,0,6.2,7.6,0,1
1,3.87,35,780,1,0,10,9.5,0,1
0,3.94,34,750,0,-1,8,7.2,0,3
1,3.98,33,767,0,1,9.5,9.6,0,3
0,3.7,33,650,1,-1,9.7,7.7,0,3
0,3.8,35,746,1,0,6,8,0,4
0,3.9,35,790,0,0,7.5,8.5,0,2
0,3.9,36,800,0,-1,8,9.7,0,0
0,3.79,35,745,1,0,9,9.2,0,4
1,3.82,34,785,0,2,9.5,10,1,0
0,4,36,766,0,0,9.2,9.3,0,3
1,4,36,720,0,0,9.5,6,0,3
1,4,34,800,0,0,10,8.7,0,1
0,3.9,36,793,0,-1,8,6.8,0,0
1,3.8,32,796,0,0,10,9.5,0,0
1,3.87,35,780,0,-1,7,8.7,0,2
0,4,34,746,0,0,7,9.3,0,2
0,4,34,760,1,0,6.5,9.5,0,1
1,4,34,785,1,-1,7.7,8.3,0,3
1,4,33,683,0,-1,8.5,8,0,3
0,4,36,800,1,-1,8.5,8.5,0,4
0,4,32,625,1,0,10,10,1,3
0,3.88,35,740,0,0,10,9.8,0,2
1,4,35,750,1,0,4,10,0,3
0,3.98,36,786,0,1,8,8,0,0
0,4,36,798,0,-1,10,10,0,3
0,3.982,33,775,0,2,10,10,0,2
0,4,34,716,0,0,8.5,7.5,0,2
0,4,33,630,0,0,8.2,10,1,2
1,4,33,740,0,-1,9.7,9.7,0,0
1,3.7,36,770,1,-1,10,10,1,2
0,4,34,800,0,0,7.5,8.3,0,4
0,3.9,34,753,1,0,8.5,9.2,0,2
1,3.99,36,772,0,-1,10,10,1,0
0,4,36,785,0,-1,7,8.4,0,1
0,3.88,36,800,0,0,8.5,9.2,0,2
0,4,36,780,0,0,8.5,8.8,0,1
0,3.8,35,760,1,-1,10,10,0,2
1,4,36,792,0,-1,8.5,8.9,0,2
0,4,35,735,1,-1,9,8,0,2
1,3.94,34,785,0,0,9,10,0,4
1,3.9,35,735,1,1,10,9,1,3
0,3.99,35,730,0,0,9.8,9.5,1,1
1,3.9,34,780,0,0,10,10,0,1
1,3.98,36,800,0,1,9,9.5,0,4
0,4,35,740,1,0,10,9.1,1,0
1,3.94,35,785,0,1,8.5,8.6,0,3
1,3.88,35,780,0,1,9.2,8.8,1,3
0,4,36,796,0,-1,8.5,8.8,0,3
0,4,36,794,0,0,9,8.8,0,2
1,4,33,756,0,1,7.8,9.5,0,1
1,3.97,35,763,1,-1,10,9.8,0,2
1,4,32,711,1,0,8,8.3,0,2
0,3.89,35,765,0,1,8,7.2,0,2
0,3.8,36,735,0,1,8,7.8,0,3
0,3.97,34,750,0,1,10,8,0,1
1,4,36,705,1,0,7,8.8,0,2
0,4,36,782,0,0,7.3,9,0,2
1,4,36,770,1,-1,4,10,0,0
0,3.92,35,765,1,0,9,10,0,0
0,4,34,756,0,-1,9.5,9,0,2
1,4,35,750,1,0,8.5,8.8,0,0
1,4,36,790,0,-1,8,8,0,1
0,4,34,780,0,-1,8.5,9.5,0,1
0,3.8,30,688,1,2,10,9.2,0,2
0,4,35,793,0,-1,8,9.3,0,0
0,4,32,700,0,0,8,8.7,0,1
1,4,33,715,1,2,7,7.3,0,0
0,3.77,31,707,0,2,7,8.7,0,3
1,3.98,36,776,0,-1,8,9.3,0,2
1,4,35,770,0,0,8.3,9.3,0,3
0,4,35,790,0,-1,7.8,5.5,0,2
1,4,34,746,1,-1,9.3,9.2,0,2
1,3.98,36,796,0,2,9,9,0,0
0,3.7122,36,800,0,-1,7.8,8,0,0
1,4,34,775,0,0,9.2,8.8,0,2
0,4,34,790,1,-1,8.6,9,0,2
0,4,35,800,1,1,8.5,9.8,1,0
0,4,36,795,1,0,8,7.4,0,2
0,4,36,800,1,0,8,7.6,0,3
0,4,35,796,0,0,7.8,9,0,2
0,3.87,35,780,0,-1,7.8,7.7,0,2
0,3.82,36,800,0,-1,6,7.3,0,0
0,3.82,36,800,0,-1,6,7.3,0,0
1,3.96,31,790,0,2,9,9.4,0,1
0,4,36,800,0,0,8,9.3,0,1
0,4,35,775,0,-1,7.8,7.2,0,3
0,3.87,35,780,0,-1,7.8,7.7,0,2
1,4,36,793,0,1,8,9,0,2
1,3.9,35,775,1,-1,2,8,0,1
1,3.99,36,786,1,0,8.5,9.3,1,2
0,4,36,800,1,0,8,7.6,0,3
1,3.8,35,793,1,0,8.2,9,0,3
0,4,34,753,1,1,6.5,6.7,0,3
1,3.85,36,756,0,0,9,8.3,0,4
0,3.98,32,685,0,1,8.8,9,0,2
1,4,35,790,1,0,8.5,9,0,1
0,4,36,800,0,-1,7.8,9.2,0,0
0,4,34,800,0,0,7.5,8.3,0,4
0,3.92,36,780,0,0,8.6,10,1,3
0,3.85,35,740,0,0,9.2,9.6,0,2
1,4,34,695,0,0,7.8,7,0,1
0,3.89,35,740,0,0,6.9,8.6,1,0
0,3.94,35,800,0,-1,8,8.5,0,2
1,4,35,780,1,0,9,10,0,3
1,3.94,34,780,0,-1,8.5,8.4,0,2
1,4,35,755,1,0,8.3,10,0,2
0,4,34,756,0,-1,6,9,0,2
1,4,36,790,1,-1,9,7,0,3
0,4,36,782,0,0,8,8.5,0,2
1,3.96,34,790,0,-1,9,10,1,2
1,3.99,34,705,1,2,10,9.5,0,3
1,4,32,795,1,1,6,9.6,0,0
1,4,34,760,0,2,9,8.2,0,2
0,3.96,36,796,0,-1,7,8.5,0,3
0,4,33,725,1,0,9,10,0,4
0,3.95,33,725,0,0,7,8.7,0,3
1,4,35,765,1,2,8.2,9.7,0,3
0,3.88,32,765,0,0,4.5,8,0,2
1,4,34,750,1,0,8.6,10,0,2
0,3.95,34,670,0,0,10,8,0,1
1,3.94,35,772,1,1,9.5,10,1,3
1,3.97,36,775,0,0,7,7,0,1
0,3.9,36,767,0,-1,7.2,9.2,0,0
0,3.7,34,790,0,0,8.6,8.2,0,3
1,4,33,795,0,0,8.6,8.3,0,1
0,4,35,785,0,0,7.8,8.3,0,3
0,3.8,34,730,0,0,6.6,5,0,1
0,3.62,33,690,1,0,6,9.4,0,4
1,3.97,35,795,0,-1,8.2,8.7,0,0
0,3.93,35,745,1,1,7.2,7,1,2
1,4,35,765,1,0,9,8.2,0,3
1,4,34,790,1,-1,9.4,9.3,0,0
1,4,35,793,1,0,8,9,0,4
0,4,35,720,0,0,9.2,10,0,1
0,3.7,34,760,0,-1,9,8,0,4
0,3.97,34,760,1,-1,8.5,7.8,0,2
1,3.94,33,635,1,1,8.5,7.8,0,2
1,3.94,33,635,1,1,7.5,7.8,0,2
0,3.96,32,745,1,1,9,8,0,2
1,3.87,35,780,0,-1,7,8.7,0,2
1,4,34,746,0,0,7,9.3,0,2
0,4,36,800,1,-1,8.5,7.8,0,0
1,3.88,27,648,0,2,8.9,6.5,0,3
1,4,36,785,1,-1,8.4,8,0,2
1,4,33,729,1,0,5.5,9.2,0,0
0,3.9,34,735,1,-1,7.5,9,0,3
0,4,36,800,0,-1,8.8,7.5,0,3
1,4,34,780,0,1,8.1,9.2,0,3
1,4,35,793,0,0,9.2,9.8,0,3
1,4,36,800,1,-1,7.2,8.3,0,3
1,4,34,746,0,0,9.6,9.4,0,4
1,4,36,800,0,-1,8.2,8,0,3
1,4,35,790,0,0,7.5,8.5,0,1
0,4,36,798,0,-1,10,9.3,0,3
0,3.982,33,775,0,2,9,7,0,2
0,4,35,785,1,0,8.5,9,0,2
1,4,36,795,1,0,9,9.8,1,0
1,4,36,780,0,0,7.2,8.5,0,1
1,4,36,800,0,-1,9,9.2,0,3
1,4,35,790,1,-1,9.5,8.5,0,2
1,3.98,36,757,1,0,7,8.5,0,2
0,4,34,746,0,1,8,8,0,1
0,3.6,35,735,0,1,7.7,7.5,0,3
0,4,34,790,1,1,7,7,0,3
1,3.8,34,748,0,1,9.5,10,0,0
0,3.98,36,786,0,1,8,8,0,0
0,4,35,795,0,1,7.7,8.3,0,0
1,3.93,35,716,1,1,9,10,0,4
1,4,36,772,1,1,9.2,9.8,0,2
0,3.975,34,670,1,1,9,7.9,0,2
1,4,33,770,1,1,9.5,9.5,0,0
0,3.89,32,695,1,1,7.5,8.5,1,2
1,3.97,33,680,1,1,9.5,10,0,3
0,3.98,36,790,0,1,9.3,8.6,0,1
0,4,36,780,0,1,9.2,7.8,0,4
0,3.97,30,679,0,1,10,9.7,0,3
1,3.74,32,770,1,1,10,9.7,1,0
0,3.98,34,760,0,0,9.5,7,0,2
1,3.97,35,763,1,-1,9.3,9.7,0,2
1,3.97,34,750,0,1,9.7,8,0,1
0,4,36,782,0,0,7.3,9,0,2
0,3.95,35,796,0,-1,8.5,7.5,0,2
1,4,34,780,0,0,8.5,9.8,0,0
0,4,34,716,0,-1,7.7,9,0,2
0,4,36,800,1,1,7.5,6,0,3
1,4,35,763,0,1,8,7.8,0,0
0,3.83,35,795,0,-1,9.5,9.1,0,4
0,4,36,788,0,-1,10,10,0,2
0,3.9,36,796,0,1,8.2,8.2,0,4
1,3.96,35,790,0,1,9,8.8,0,3
1,4,36,800,0,1,6.8,8.5,0,2
1,4,33,636,0,0,9,7.5,0,2
0,3.94,35,785,1,-1,9,9.5,0,1
0,3.7,36,800,0,0,5,8.2,0,0
0,3.89,27,652,0,0,5.5,9.6,1,3
1,3.76,32,725,1,0,9.5,9,1,0
0,3.87,35,780,0,-1,7,8.7,0,2
1,3.96,35,790,0,-1,8,7.8,0,3
1,3.99,34,775,0,0,7,8,1,4
1,4,32,735,1,2,7,7,0,3
0,4,36,800,1,-1,8.5,8.5,0,0
0,3.9,36,760,0,1,8.2,7.1,0,3
